,2024-07-18_release,2024-07-12_xrelease,2024-07-20_xrelease,x_change,%_change,warning
ACC-ACC_infra_diff_auth,0.0,0.0,0.0,0.0,,
ACC-ACC_infra_eq_auth,3.0,323.0,94.0,-229.0,-70.9,to_review
ACC-ACC_sp_diff_auth,297.0,28339.0,2480.0,-25859.0,-91.25,to_review
ACC-ACC_sp_eq_auth,0.0,1185.0,739.0,-446.0,-37.64,to_review
ACC-SYN_infra_diff_acc_diff_auth,6.0,1958.0,1030.0,-928.0,-47.4,to_review
ACC-SYN_infra_diff_acc_eq_auth,3.0,268.0,95.0,-173.0,-64.55,to_review
ACC-SYN_infra_eq_acc_eq_auth,26.0,33.0,29.0,-4.0,-12.12,to_review
ACC-SYN_sp_diff_acc_diff_auth,2078.0,22257.0,12420.0,-9837.0,-44.2,to_review
ACC-SYN_sp_diff_acc_eq_auth,128.0,634.0,620.0,-14.0,-2.21,
ACC-SYN_sp_eq_acc_eq_auth,34.0,30.0,46.0,16.0,53.33,to_review
any_uninomial,3328.0,9475.0,6037.0,-3438.0,-36.28,to_review
ident_superfamily,0.0,0.0,0.0,0.0,,
ident_family,1.0,0.0,1.0,1.0,inf,to_review
ident_genus,2388.0,8247.0,4765.0,-3482.0,-42.22,to_review
ident_order,0.0,0.0,0.0,0.0,,
ident_subgenus,5.0,0.0,5.0,5.0,inf,to_review
ident_tribe,2.0,0.0,2.0,2.0,inf,to_review
SYN-SYN_infra_diff_acc_diff_auth,30.0,3415.0,3035.0,-380.0,-11.13,to_review
SYN-SYN_infra_diff_acc_eq_auth,25.0,335.0,188.0,-147.0,-43.88,to_review
SYN-SYN_infra_eq_acc_diff_auth,5143.0,17894.0,17481.0,-413.0,-2.31,
SYN-SYN_infra_eq_acc_eq_auth,3.0,1397.0,229.0,-1168.0,-83.61,to_review
SYN-SYN_sp_diff_acc_diff_auth,3650.0,25937.0,23406.0,-2531.0,-9.76,to_review
SYN-SYN_sp_diff_acc_eq_auth,218.0,1061.0,1092.0,31.0,2.92,
SYN-SYN_sp_eq_acc_diff_auth,11970.0,49912.0,50997.0,1085.0,2.17,
SYN-SYN_sp_eq_acc_eq_auth,31.0,921.0,746.0,-175.0,-19.0,to_review
