,COL-2024-08-02_xrelease,COL-2024-07-20_xrelease,COL24.7_release,x_change,%_change,warning
nameCount,9001216,8989876,5200521,-3789355,-42.15,to_review
synonymCount,3937621,3936554,2590670,-1345884,-34.19,to_review
speciesNames,4811316,4805035,4165176,-639859,-13.32,to_review
varietyNames,412143,411639,295077,-116562,-28.32,to_review
genusNames,351350,350511,287289,-63222,-18.04,to_review
subspeciesNames,348922,343201,281735,-61466,-17.91,to_review
formNames,85348,85540,58680,-26860,-31.4,to_review
unrankedNames,2889384,2889384,18119,-2871265,-99.37,to_review
familyNames,21738,21709,17207,-4502,-20.74,to_review
otherNames,2194,2168,962,-1206,-55.63,to_review
speciesTaxa,2480855,2474286,2177735,-296551,-11.99,to_review
varietyTaxa,59206,59054,26026,-33028,-55.93,to_review
genusTaxa,243699,243214,211557,-31657,-13.02,to_review
subspeciesTaxa,175082,171701,146982,-24719,-14.4,to_review
formTaxa,8175,8420,842,-7578,-90.0,to_review
unrankedTaxa,2047739,2047739,3,-2047736,-100.0,to_review
familyTaxa,16303,16289,14176,-2113,-12.97,to_review
otherTaxa,1,1,1,0,0.0,
acceptedstatus,4932307,4921523,2524475,-2397048,-48.71,to_review
synonymstatus,3798537,3797296,2455641,-1341655,-35.33,to_review
ambiguous synonymstatus,127467,127467,125703,-1764,-1.38,to_review
provisionally acceptedstatus,131288,131799,85376,-46423,-35.22,to_review
misappliedstatus,11617,11791,9326,-2465,-20.91,to_review
